 Preconditioned BiConjugate Gradient for N, ITOL =  1600    1
 ITER   Error Estimate            Alpha             Beta
   46    0.2767700E+02    0.3840092E-01   -0.2501973E+03
   47    0.2233926E+02    0.5122806E+00   -0.4126383E-01
   48    0.3124301E+02   -0.1561409E+00    0.1387857E+01
   49    0.1717481E+02   -0.7575474E+00   -0.1108832E+01
   50    0.8390082E+02    0.2792736E+01    0.1302315E+01
   51    0.2228374E+02    0.9277827E-01   -0.2698601E+02
   52    0.4494812E+01    0.1982755E+00   -0.6928460E-01
   53    0.4670988E+01   -0.2579794E-01   -0.4665807E-02
   54    0.3488551E+01   -0.3376134E+01   -0.1117829E+01
   55    0.7025751E+01   -0.7420435E+00   -0.5425169E+01
   56    0.3701176E+02   -0.8814650E+01   -0.2165469E+01
   57    0.1049392E+03    0.9149230E-01    0.3177385E+03
   58    0.2140344E+02    0.2762756E-01   -0.1977272E+01
   59    0.2767391E+01   -0.3597783E+00   -0.2099533E-01
   60    0.2162444E+02   -0.1102184E+01   -0.9515096E-01
   61    0.3670935E+02   -0.7553241E+00   -0.5876231E+01
   62    0.3948267E+02   -0.3393701E-01    0.3782128E+00
   63    0.6888112E+01   -0.6920507E+00   -0.1276445E+01
   64    0.6700454E+01    0.9564907E-01    0.1130645E+00
   65    0.1987262E+01    0.1252493E+01   -0.7614023E+00
   66    0.1413638E+01    0.6828628E-01    0.5739406E+00
   67    0.1218137E+01    0.3884333E+00   -0.1379184E+00
   68    0.7689098E+00    0.1122401E+01   -0.7509588E+00
   69    0.6828827E+00    0.7300161E-01   -0.1846042E+01
   70    0.9444252E+00   -0.1216787E+00   -0.9075764E+00
   71    0.3763423E+00    0.4506842E+00    0.7462796E+00
   72    0.4345342E+00    0.1367162E+01    0.9334813E-01
   73    0.2644899E+00    0.5111365E-01   -0.2052851E+02
   74    0.2490941E+00    0.8303696E-01   -0.2964933E-02
   75    0.2417947E+00    0.5292609E+01   -0.8307382E+00
   76    0.2449414E+00   -0.1314132E-01    0.6918518E+00
   77    0.1512289E+00   -0.1326179E+02   -0.1071549E+01
   78    0.3144323E+00   -0.6414577E+00    0.5993277E+01
   79    0.1209066E+00   -0.1510191E+00   -0.7119138E+01
   80    0.9775675E-01    0.1914374E+00    0.3992397E-01
   81    0.1101742E+00   -0.8093104E-01    0.2013873E+00
   82    0.9751664E-01   -0.2203205E+00   -0.1367533E+01
   83    0.4400209E-01   -0.1096622E+01    0.3614339E+01
   84    0.4628050E-01   -0.2815884E-01    0.5816190E-01
   85    0.2381456E-01   -0.2256333E+01   -0.1130783E+01
   86    0.8065898E-02    0.1345888E+00   -0.2561864E+01
   87    0.2899224E-02    0.2695880E+00    0.4603764E+00
   88    0.2545441E-02    0.1622321E+00   -0.9539291E-01
   89    0.2000353E-02    0.1937830E+00   -0.1487937E+00
   90    0.1831004E-02    0.7725619E-01   -0.1911991E+00
   91    0.2369969E-02    0.7107763E+01   -0.1000486E+01
   92    0.1860152E-02    0.3140778E+00    0.5369619E+00
   93    0.1840832E-02    0.4077018E+00   -0.4384649E+00
   94    0.4861073E-03   -0.2088448E+00   -0.6440906E+01
   95    0.5620188E-04    0.6719090E+00   -0.7122719E-01
   96    0.3378704E-04    0.4039564E+00   -0.1613229E-01
   97    0.7058743E-05    0.2574969E+01   -0.3686377E+00
   98    0.1558218E-04   -0.1120136E+01   -0.3380115E-02
   99    0.1502619E-04   -0.4776157E-01   -0.3003796E+01
  100    0.3525574E-05    0.4681729E+00   -0.1504397E+01
  101    0.8531799E-05    0.5864751E+00    0.5755597E+00
  102    0.7855430E-05    0.8268618E-01   -0.7643955E-01
  103    0.1014838E-04    0.7525914E-01   -0.3937273E+01
  104    0.3125691E-05   -0.2523213E+01    0.4117183E+00
  105    0.6190854E-05    0.1147576E+00    0.1143491E+02
  106    0.1272739E-05    0.3661329E+00   -0.2249994E+00
  107    0.2247093E-05   -0.3855341E+00    0.7175011E-01
  108    0.1269655E-06   -0.4682549E+00   -0.3040575E+01
 Preconditioned BiConjugate Gradient for N, ITOL =  1600    1
 ITER   Error Estimate            Alpha             Beta
    0    0.3901194E-03    0.1610807-309    0.6618505-310
    1    0.2281448E-04    0.1264528E+01    0.6618505-310
    2    0.1906573E-05    0.1032597E+01    0.1538817E-02
    3    0.2213030E-06    0.9617647E+00    0.7715968E-02
    4    0.2935629E-07    0.1045270E+01    0.8774215E-02
    5    0.3670177E-08    0.1004770E+01    0.1325367E-01
 Preconditioned BiConjugate Gradient for N, ITOL =  4800    1
 ITER   Error Estimate            Alpha             Beta
    0    0.4582227E+00    0.1489917-308    0.6975637-309
    1    0.1630289E+02    0.2749970E-01    0.6975637-309
    2    0.1386800E+01   -0.1546043E-01    0.1444261E+01
    3    0.4466259E+01    0.1990451E+01   -0.1232629E+00
    4    0.4971582E+01   -0.7019972E-01    0.3225712E-01
    5    0.2831911E+01   -0.9352686E+00   -0.1452706E+01
    6    0.5288163E+01   -0.1159763E+01    0.6615991E+00
    7    0.5558434E+01   -0.1533284E+00   -0.2220831E+01
    8    0.1369691E+01    0.1589263E+01   -0.1465507E+01
    9    0.1413512E+01    0.3249140E+00   -0.1350202E+01
   10    0.5604948E+00    0.2314055E+00   -0.4220870E+00
   11    0.6830624E+00    0.1689750E+00   -0.9530564E-01
   12    0.5825893E+00    0.1931982E-01    0.1973131E+01
   13    0.5335741E+00    0.3450352E+00   -0.1183288E+00
   14    0.1718969E+01    0.9583395E+00   -0.5933039E+00
   15    0.7515545E+00    0.3485037E-01   -0.5590291E+02
   16    0.7385152E+00    0.1743178E-01   -0.1203665E-01
   17    0.5422583E+00   -0.2427487E+01   -0.9387227E+00
   18    0.1477527E+01    0.2397916E+01    0.1475950E+01
   19    0.6204425E+00   -0.2841661E-01    0.8978410E+02
   20    0.7006115E+00   -0.3899117E+01   -0.2462046E-01
   21    0.1224847E+01   -0.3687440E+00   -0.3922094E+01
   22    0.5680031E+00   -0.1053189E+00   -0.6521434E+01
   23    0.3338455E+00    0.5711541E+00    0.7241046E-01
   24    0.3316430E+00    0.2317195E-01   -0.8743035E+00
   25    0.3786490E+00    0.5793099E+00    0.3970875E+00
   26    0.4321673E+00   -0.1500208E+00   -0.9826457E+00
   27    0.3322388E+00   -0.2548381E+00   -0.2474017E+01
   28    0.9104030E+00   -0.7996693E+01   -0.3511258E+00
   29    0.1018593E+01   -0.1458043E-01    0.4740971E+01
   30    0.2927934E+01   -0.3524984E+01   -0.6121240E+00
   31    0.3087537E+01   -0.8967327E-01   -0.7798268E+01
   32    0.1200634E+02    0.3481357E+01   -0.1490118E+01
   33    0.2846096E+01   -0.1206318E+00    0.2787786E+02
   34    0.2987035E+01    0.5877840E+00   -0.1027295E+00
   35    0.3149545E+01    0.3515423E-01    0.1611243E+01
   36    0.8411509E+01   -0.9524131E+00    0.1065923E+01
   37    0.5408254E+01    0.1093538E+00    0.2358722E+01
   38    0.5186305E+01    0.6122738E+00   -0.4471786E+00
